"id","name","date","title","content","board_id","remaining_time","item_id"
"9001","메티스","15/06/13","ナイト1次パッケージ","8ジェネラルグレートソード
6神聖なマジックヘルム
6用カボチャアーマー
6魔法防御ゲートル
6軸マナマント
8マ水軍ワンのブーツ
6パワーグローブ
6反逆者の盾
3体力のがより
5フォーノース戦士のネックレス
5軸スナップ広がり体力の指輪x2
3ルームティス赤いイヤリング
5腕力ベルト
1億アデナ
4段階の人形箱（ランダム）","4200099",,
"9002","메티스","15/06/13","君主1次パッケージ","8酷寒のウィンドウ
6神聖なマジックヘルム
6用カボチャアーマー
6魔法防御ゲートル
6軸マナマント
8マ水軍ワンのブーツ
6パワーグローブ
6反逆者の盾
3体力のがより
5フォーノース戦士のネックレス
5軸スナップ広がり体力の指輪x2
3ルームティス赤いイヤリング
5腕力ベルト
1億アデナ
4段階の人形箱（ランダム）","4200099",,
"9003","메티스","15/06/13","ウィザード1次パッケージ","8アイスクイーンスタッフ
6神聖なマジックヘルム
2マジックプロテクショングローブ
6魔法防御ゲートル
6軸マナマント
8マ水軍ワンのブーツ
6輝く馬力の手袋
7語の心眼
3ウィザードが
5賢者のネックレス
5軸スナップ広がり知恵のリングx2
3ルームティス紫色のイヤリング
5知識のベルト
1億アデナ
4段階の人形箱（ランダム）","4200099",,
"9004","메티스","15/06/13","エルフ1次パッケージ","8破壊のロングボウ
6神聖なマジックヘルム
6スタン耐性特製ティー
6用カボチャアーマー
6魔法防御ゲートル
6軸マジッククローク
8魔獣軍王のブーツ
6名弓の手袋
7エルヴンシールド
3体力のがより
5輝く社以下ネックレス
5輝く社以下リングx2
3ルームティス赤い光のイヤリング
5速のベルト
1億を追加支給
4段階の人形箱（ランダム）","4200099",,
"9005","메티스","15/06/13","ダークエルフ1次パッケージ","8ダークネスデュアルブレード
6神聖なマジックヘルム
6スタン耐性特製ティー
6用カボチャアーマー
6魔法防御ゲートル
6軸マジッククローク
8魔獣軍王のブーツ
6パワーグローブ
7エルヴンシールド
3体力のがより
5フォノシュトゥッ社ネックレス
5軸スナップ広がり体力の指輪x2
3ルームティス赤い光のイヤリング
5腕力ベルト
1億を追加支給
4段階の人形箱（ランダム）","4200099",,
"9006","메티스","15/06/13","ドラゴンナイト1次パッケージ","8歓迎のチェーンソード
6神聖なマジックヘルム
6スタン耐性特製ティー
6用カボチャアーマー
6魔法防御ゲートル
6軸マジッククローク
8魔獣軍王のブーツ
6パワーグローブ
7エルヴンシールド
3体力のがより
5フォノシュトゥッ社ネックレス
5軸スナップ広がり体力の指輪x2
3ルームティス赤い光のイヤリング
5腕力ベルト
1億を追加支給
4段階の人形箱（ランダム）","4200099",,
"9007","메티스","15/06/13","イリュージョニスト1次パッケージ","8冷え性のキーリンク
6神聖なマジックヘルム
6用カボチャアーマー
6魔法防御ゲートル
6軸マナマント
8マ水軍ワンのブーツ
6輝く馬力の手袋
7語の心眼
3体力のがより
5賢者のネックレス
5軸スナップ広がり知恵のリングx2
3ルームティス紫色のイヤリング
5知識のベルト
1億を追加支給
4段階の人形箱（ランダム）","4200099",,
"9008","메티스","15/06/13","ナイト2次パッケージ","8ナイトバルドの両手剣
7神聖なマジックヘルム
7パプリオンの腕力
7魔法防御ゲートル
7軸マナマント
7腕力のブーツ
7激怒の手袋
7反逆者の盾
5体力のがより
6包ノース戦士のネックレス
6軸スナップ広がり体力の指輪x2
3ルームティス青いイヤリング追加支給
6腕力のベルト
1億アデナ","4200035",,
"9009","메티스","15/06/13","君主2次パッケージ","9酷寒のウィンドウ
7神聖なマジックヘルム
7パプリオンの先見の明
7魔法防御ゲートル
7軸マナマント
7腕力のブーツ
7激怒の手袋
7反逆者の盾
5体力のがより
6包ノース戦士のネックレス
6軸スナップ広がり体力の指輪x2
3ルームティス青いイヤリング追加支給
6腕力のベルト
1億アデナ","4200035",,
"9010","메티스","15/06/13","ウィザード2次パッケージ","8ゼロスの杖
7神聖なマジックヘルム
7パプリオンの馬力
7魔法防御ゲートル
7軸マナマント
7知識のブーツ
7輝く馬力の手袋
8語の心眼
5ウィザードが
6賢者のネックレス
6軸スナップ広がり知恵のリングx2
3ルームティス青いイヤリング追加支給
6知識のベルト
1億アデナ","4200035",,
