"name","npcid","room_number","key_id","lodger_id","hall","due_time"
"話せる島 - セレナ","70012","0","0","0","0","14/9/2014 01:44:57"
"話せる島 - セレナ","70012","1","0","0","1","30/4/2011 15:53:09"
"話せる島 - セレナ","70012","2","0","0","0","30/4/2011 15:53:09"
"話せる島 - セレナ","70012","3","0","0","0","30/4/2011 15:53:09"
"話せる島 - セレナ","70012","4","0","0","0","30/4/2011 15:53:09"
"話せる島 - セレナ","70012","5","0","0","0","30/4/2011 15:53:09"
"話せる島 - セレナ","70012","6","0","0","0","30/4/2011 15:53:09"
"話せる島 - セレナ","70012","7","0","0","0","30/4/2011 15:53:09"
"話せる島 - セレナ","70012","8","0","0","0","30/4/2011 15:53:09"
"話せる島 - セレナ","70012","9","0","0","0","30/4/2011 15:53:09"
"話せる島 - セレナ","70012","10","0","0","0","30/4/2011 15:53:09"
"話せる島 - セレナ","70012","11","0","0","0","30/4/2011 15:53:09"
"話せる島 - セレナ","70012","12","0","0","0","30/4/2011 15:53:09"
"話せる島 - セレナ","70012","13","0","0","0","30/4/2011 15:53:09"
"話せる島 - セレナ","70012","14","0","0","0","30/4/2011 15:53:09"
"話せる島 - セレナ","70012","15","0","0","0","30/4/2011 15:53:09"
"グルーディン - ロリ","70019","0","0","0","0","23/6/2015 02:25:55"
"グルーディン - ロリ","70019","1","0","0","0","29/4/2015 01:09:51"
"グルーディン - ロリ","70019","2","0","0","0","26/6/2014 04:07:15"
"グルーディン - ロリ","70019","3","0","0","0","30/4/2011 15:53:09"
"グルーディン - ロリ","70019","4","0","0","0","30/4/2011 15:53:09"
"グルーディン - ロリ","70019","5","0","0","0","30/4/2011 15:53:09"
"グルーディン - ロリ","70019","6","0","0","0","30/4/2011 15:53:09"
"グルーディン - ロリ","70019","7","0","0","0","30/4/2011 15:53:09"
"グルーディン - ロリ","70019","8","0","0","0","30/4/2011 15:53:09"
"グルーディン - ロリ","70019","9","0","0","0","30/4/2011 15:53:09"
"グルーディン - ロリ","70019","10","0","0","0","30/4/2011 15:53:09"
"グルーディン - ロリ","70019","11","0","0","0","30/4/2011 15:53:09"
"グルーディン - ロリ","70019","12","0","0","0","30/4/2011 15:53:09"
"グルーディン - ロリ","70019","13","0","0","0","30/4/2011 15:53:09"
"グルーディン - ロリ","70019","14","0","0","0","30/4/2011 15:53:09"
"グルーディン - ロリ","70019","15","0","0","0","30/4/2011 15:53:09"
"ギラン - モリー","70031","0","0","0","0","26/4/2015 06:17:38"
"ギラン - モリー","70031","1","0","0","0","31/10/2014 18:00:35"
