"clan_id","clan_name","leader_id","leader_name","hascastle","hashouse","alliance","clan_birthday","bot","bot_style","bot_level","max_online_user","announcement","emblem_id","emblem_status","clan_exp","bless","bless_count","attack","defence","pvpattack","pvpdefence","under_dungeon","ranktime","rankdate"
"1","新生児保護組織","1","新生血管群","0","0","0","10/12/2015 14:12:12","true","0","0","0","","289340129","1","2","0","306209768","0","0","0","0","0","0",
"289340076","義楽団","288338031","ネ","0","0","0","10/12/2015 16:28:49","true","0","0","0","","289340079","0","0","0","0","0","0","0","0","0","0",
"905510255","革命名","600000000","革命名","0","0","0","2/1/2017 00:47:57","true","0","0","0","","289838872","1","1088","0","2687479","0","0","0","0","0","0","6/12/2016 21:56:31"
"200000008","ユーモア","600000003","ユモニー","0","0","0","2/1/2017 00:47:57","true","0","0","0","","289965120","1","0","0","2034946","0","0","0","0","0","0","6/12/2016 21:56:31"
"905508733","PKFC","600000001","牛乳","0","0","0","2/1/2017 00:47:57","true","0","0","0","","293602103","1","86","0","7628371","0","0","0","0","0","0","6/12/2016 21:56:31"
"905509537","ヒアロ","889025382","ヒアルロズ","0","0","0","2/1/2017 00:47:57","true","0","0","0","","293570182","1","2302","0","2022365","0","0","0","0","0","0","6/12/2016 21:56:31"
"905510965","膜","600000002","ECU","0","0","0","11/7/2017 12:25:37","false","0","0","0","","0","0","84","0","0","0","0","0","0","0","0",
"906084186","ﾄﾞﾝﾄｺｲ","906074943","全てを超えし","0","0","0","21/7/2017 18:28:52","false","0","0","0","","906170474","1","0","0","177360","0","0","0","0","0","0",
"906093930","うしこフレンズ","905614876","ホロ","0","458758","0","21/7/2017 19:08:13","false","0","0","0","てすと血盟","906099107","1","0","0","2113999","0","0","0","0","0","0",
"907614100","Jolo","907613157","うしプリ","0","0","0","25/7/2017 22:55:54","false","0","0","0","","907628702","0","28","0","302890","0","0","0","0","0","0",
