"id","level","type","note","item_name","item_id","count","enchant","attrlevel","bless"
"1","10","0","君主","LV10フェアリーのお祝いギフト","30135","0","0","0","1"
"2","10","1","ナイト","LV10フェアリーのお祝いギフト","30135","0","0","0","1"
"3","10","2","エルフ","LV10フェアリーのお祝いギフト","30135","0","0","0","1"
"4","10","3","ウィザード","LV10フェアリーのお祝いギフト","30135","0","0","0","1"
"5","10","4","すべてへ","LV10フェアリーのお祝いギフト","30135","0","0","0","1"
"6","10","5","ドラゴンナイト","LV10フェアリーのお祝いギフト","30135","0","0","0","1"
"7","10","6","イリュージョニスト","LV10フェアリーのお祝いギフト","30135","0","0","0","1"
"8","10","7","戦士","LV10フェアリーのお祝いギフト","30135","0","0","0","1"
"9","15","0","君主","LV15フェアリーのお祝いギフト","30136","0","0","0","1"
"10","15","1","ナイト","LV15フェアリーのお祝いギフト","30136","0","0","0","1"
"11","15","2","エルフ","LV15フェアリーのお祝いギフト","30136","0","0","0","1"
"12","15","3","ウィザード","LV15フェアリーのお祝いギフト","30136","0","0","0","1"
"13","15","4","すべてへ","LV15フェアリーのお祝いギフト","30136","0","0","0","1"
"14","15","5","ドラゴンナイト","LV15フェアリーのお祝いギフト","30136","0","0","0","1"
"15","15","6","イリュージョニスト","LV15フェアリーのお祝いギフト","30136","0","0","0","1"
"16","15","7","戦士","LV15フェアリーのお祝いギフト","30136","0","0","0","1"
"17","20","0","君主","LV20フェアリーのお祝いギフト","30137","0","0","0","1"
"18","20","1","ナイト","LV20フェアリーのお祝いギフト","30137","0","0","0","1"
"19","20","2","エルフ","LV20フェアリーのお祝いギフト","30137","0","0","0","1"
"20","20","3","ウィザード","LV20フェアリーのお祝いギフト","30137","0","0","0","1"
"21","20","4","すべてへ","LV20フェアリーのお祝いギフト","30137","0","0","0","1"
"22","20","5","ドラゴンナイト","LV20フェアリーのお祝いギフト","30137","0","0","0","1"
"23","20","6","イリュージョニスト","LV20フェアリーのお祝いギフト","30137","0","0","0","1"
"24","20","7","戦士","LV20フェアリーのお祝いギフト","30137","0","0","0","1"
"25","25","0","君主","LV25フェアリーのお祝いギフト","30138","0","0","0","1"
"26","25","1","ナイト","LV25フェアリーのお祝いギフト","30138","0","0","0","1"
"27","25","2","エルフ","LV25フェアリーのお祝いギフト","30138","0","0","0","1"
"28","25","3","ウィザード","LV25フェアリーのお祝いギフト","30138","0","0","0","1"
"29","25","4","すべてへ","LV25フェアリーのお祝いギフト","30138","0","0","0","1"
"30","25","5","ドラゴンナイト","LV25フェアリーのお祝いギフト","30138","0","0","0","1"
"31","25","6","イリュージョニスト","LV25フェアリーのお祝いギフト","30138","0","0","0","1"
"32","25","7","戦士","LV25フェアリーのお祝いギフト","30138","0","0","0","1"
"33","30","0","君主","LV30フェアリーのお祝いギフト","30139","0","0","0","1"
"34","30","1","ナイト","LV30フェアリーのお祝いギフト","30139","0","0","0","1"
"35","30","2","エルフ","LV30フェアリーのお祝いギフト","30139","0","0","0","1"
"36","30","3","ウィザード","LV30フェアリーのお祝いギフト","30139","0","0","0","1"
"37","30","4","すべてへ","LV30フェアリーのお祝いギフト","30139","0","0","0","1"
"38","30","5","ドラゴンナイト","LV30フェアリーのお祝いギフト","30139","0","0","0","1"
"39","30","6","イリュージョニスト","LV30フェアリーのお祝いギフト","30139","0","0","0","1"
"40","30","7","戦士","LV30フェアリーのお祝いギフト","30139","0","0","0","1"
"41","35","0","君主","LV35フェアリーのお祝いギフト","30140","0","0","0","1"
"42","35","1","ナイト","LV35フェアリーのお祝いギフト","30140","0","0","0","1"
"43","35","2","エルフ","LV35フェアリーのお祝いギフト","30140","0","0","0","1"
"44","35","3","ウィザード","LV35フェアリーのお祝いギフト","30140","0","0","0","1"
"45","35","4","すべてへ","LV35フェアリーのお祝いギフト","30140","0","0","0","1"
"46","35","5","ドラゴンナイト","LV35フェアリーのお祝いギフト","30140","0","0","0","1"
"47","35","6","イリュージョニスト","LV35フェアリーのお祝いギフト","30140","0","0","0","1"
"48","35","7","戦士","LV35フェアリーのお祝いギフト","30140","0","0","0","1"
"49","40","0","君主","LV40フェアリーのお祝いギフト","30141","0","0","0","1"
"50","40","1","ナイト","LV40フェアリーのお祝いギフト","30141","0","0","0","1"
"51","40","2","エルフ","LV40フェアリーのお祝いギフト","30141","0","0","0","1"
"52","40","3","ウィザード","LV40フェアリーのお祝いギフト","30141","0","0","0","1"
"53","40","4","すべてへ","LV40フェアリーのお祝いギフト","30141","0","0","0","1"
"54","40","5","ドラゴンナイト","LV40フェアリーのお祝いギフト","30141","0","0","0","1"
"55","40","6","イリュージョニスト","LV40フェアリーのお祝いギフト","30141","0","0","0","1"
"56","40","7","戦士","LV40フェアリーのお祝いギフト","30141","0","0","0","1"
"57","45","0","君主","LV45フェアリーのお祝いギフト","30142","0","0","0","1"
"58","45","1","ナイト","LV45フェアリーのお祝いギフト","30142","0","0","0","1"
"59","45","2","エルフ","LV45フェアリーのお祝いギフト","30142","0","0","0","1"
"60","45","3","ウィザード","LV45フェアリーのお祝いギフト","30142","0","0","0","1"
"61","45","4","すべてへ","LV45フェアリーのお祝いギフト","30142","0","0","0","1"
"62","45","5","ドラゴンナイト","LV45フェアリーのお祝いギフト","30142","0","0","0","1"
"63","45","6","イリュージョニスト","LV45フェアリーのお祝いギフト","30142","0","0","0","1"
"64","45","7","戦士","LV45フェアリーのお祝いギフト","30142","0","0","0","1"
"65","50","0","君主","LV50フェアリーのお祝いギフト","30143","0","0","0","1"
"66","50","1","ナイト","LV50フェアリーのお祝いギフト","30143","0","0","0","1"
"67","50","2","エルフ","LV50フェアリーのお祝いギフト","30143","0","0","0","1"
"68","50","3","ウィザード","LV50フェアリーのお祝いギフト","30143","0","0","0","1"
"69","50","4","すべてへ","LV50フェアリーのお祝いギフト","30143","0","0","0","1"
"70","50","5","ドラゴンナイト","LV50フェアリーのお祝いギフト","30143","0","0","0","1"
"71","50","6","イリュージョニスト","LV50フェアリーのお祝いギフト","30143","0","0","0","1"
"72","50","7","戦士","LV50フェアリーのお祝いギフト","30143","0","0","0","1"
"73","52","0","君主","LV52フェアリーのお祝いギフト","30144","0","0","0","1"
"74","52","1","ナイト","LV52フェアリーのお祝いギフト","30144","0","0","0","1"
"75","52","2","エルフ","LV52フェアリーのお祝いギフト","30144","0","0","0","1"
"76","52","3","ウィザード","LV52フェアリーのお祝いギフト","30144","0","0","0","1"
"77","52","4","すべてへ","LV52フェアリーのお祝いギフト","30144","0","0","0","1"
"78","52","5","ドラゴンナイト","LV52フェアリーのお祝いギフト","30144","0","0","0","1"
"79","52","6","イリュージョニスト","LV52フェアリーのお祝いギフト","30144","0","0","0","1"
"80","52","7","戦士","LV52フェアリーのお祝いギフト","30144","0","0","0","1"
