"id","item_id","char_id","item_name","count","is_equipped","enchantlvl","is_id","durability","charge_count","remaining_time","last_used","bless","attr_enchantlvl","special_enchant","end_time","package","buy_time"
"907646110","40013","907646107","ヘイスト ポーション","3","0","0","1","0","0","0",,"1","0","0",,"0",
"907646111","30121","907646107","初心者ガイドブック","1","0","0","1","0","0","0",,"1","0","0",,"0",
"907646114","800200","907646107","パッケージ1次","1","0","0","1","0","0","0",,"1","0","0",,"0",
"907646115","301066","907646107","ギラン村帰還お守り","1","0","0","1","0","0","0",,"1","0","0",,"0",
"907646116","40308","907646107","アデナ","655000000","0","0","1","0","0","0",,"1","0","0",,"0",
"907678202","152","907646107","ブロンズ クロウ","1","0","0","1","0","0","0",,"1","0","0",,"0",
"907678203","9500","907646107","GM変身リング","1","1","0","1","0","0","0",,"0","0","0",,"0",
"907710217","3000244","907646107","Gm Room Teleport Scroll","997","0","0","1","0","0","0",,"1","0","0",,"0",
"907710311","60256","907646107","Only Dragon Amethyst","1","0","0","0","0","0","0",,"1","0","0",,"0",
"907710327","3000095","907646107","Spellbook (Death Heal)","1","0","0","1","0","0","0",,"1","0","0",,"0",
"907742332","40013","907742329","ヘイスト ポーション","3","0","0","1","0","0","0",,"1","0","0",,"0",
"907742333","30121","907742329","初心者ガイドブック","1","0","0","1","0","0","0",,"1","0","0",,"0",
"907742337","301066","907742329","ギラン村帰還お守り","1","0","0","1","0","0","0",,"1","0","0",,"0",
"907742338","40308","907742329","アデナ","5000000","0","0","1","0","0","0",,"1","0","0",,"0",
"907742356","800001","907742329","Coin: Weapon","1","0","0","1","0","0","0",,"1","0","0",,"0",
"907742357","800002","907742329","Coin: Throw","1","0","0","1","0","0","0",,"1","0","0",,"0",
"907742358","800003","907742329","Coin: T-shirt","1","0","0","1","0","0","0",,"1","0","0",,"0",
"907742359","800004","907742329","Coin: Cloak","1","0","0","1","0","0","0",,"1","0","0",,"0",
"907742360","800005","907742329","Coin: Armor","1","0","0","1","0","0","0",,"1","0","0",,"0",
"907742361","800007","907742329","Coin: Gloves","1","0","0","1","0","0","0",,"1","0","0",,"0",
"907742362","800008","907742329","Coin: Boots","1","0","0","1","0","0","0",,"1","0","0",,"0",
"907742363","800009","907742329","Coin: Necklace","1","0","0","1","0","0","0",,"1","0","0",,"0",
"907742364","800010","907742329","Coin: Earrings","1","0","0","1","0","0","0",,"1","0","0",,"0",
"907742365","800011","907742329","Coin: Ring","2","0","0","1","0","0","0",,"1","0","0",,"0",
"907742367","800012","907742329","Coin: Belt","1","0","0","1","0","0","0",,"1","0","0",,"0",
"907742368","800013","907742329","Coin: Doll","1","0","0","1","0","0","0",,"1","0","0",,"0",
"907742369","800014","907742329","Coin: Gaiter","1","0","0","1","0","0","0",,"1","0","0",,"0",
"907742371","3000119","907742329","Package Report Scroll","1","0","0","1","0","0","0",,"1","0","0",,"0",
"907742372","800006","907742329","Coin: Shield/Guard","1","0","0","1","0","0","0",,"1","0","0",,"0",
"907774376","40222","907646107","Magic Book (Disintegrate)","1","0","0","1","0","0","0",,"1","0","0",,"0",
"907812785","1105","907646107","Elmore Crowe","1","0","6","1","0","0","36000",,"129","0","0",,"0",
"907812786","30080","907646107","Initiate's Dark Stone","500","0","0","0","0","0","0",,"1","0","0",,"0",
"907812787","22034","907646107","Heavensward Gloves","1","0","4","1","0","0","0",,"129","0","0",,"0",
"907812788","22035","907646107","Azure Mantle","1","0","4","1","0","0","0",,"129","0","0",,"0",
"907812789","22036","907646107","Heavensward Boots","1","0","4","1","0","0","0",,"129","0","0",,"0",
