"id","note","trapId","mapId","locX","locY","locRndX","locRndY","count","span"
"1","傲慢の塔","8","104","32670","32861","100","100","20","0"
"2","傲慢の塔","2","104","32670","32861","100","100","20","0"
"3","傲慢の塔","3","104","32670","32861","100","100","20","0"
"4","傲慢の塔","4","104","32670","32861","100","100","20","0"
"5","傲慢の塔","5","104","32670","32861","100","100","20","0"
"6","傲慢の塔","6","104","32670","32861","100","100","20","0"
"7","傲慢の塔","7","104","32670","32861","100","100","20","0"
"8","傲慢の塔","9","108","32670","32861","100","100","20","0"
"9","傲慢の塔","2","108","32670","32861","100","100","20","0"
"10","傲慢の塔","3","108","32670","32861","100","100","20","0"
"11","傲慢の塔","4","108","32670","32861","100","100","20","0"
"12","傲慢の塔","5","108","32670","32861","100","100","20","0"
"13","傲慢の塔","6","108","32670","32861","100","100","20","0"
"14","傲慢の塔","7","108","32670","32861","100","100","20","0"
"15","傲慢の塔","10","114","32670","32861","100","100","20","0"
"16","傲慢の塔","2","114","32670","32861","100","100","20","0"
"17","傲慢の塔","3","114","32670","32861","100","100","20","0"
"18","傲慢の塔","4","114","32670","32861","100","100","20","0"
"19","傲慢の塔","5","114","32670","32861","100","100","20","0"
"20","傲慢の塔","6","114","32670","32861","100","100","20","0"
"21","傲慢の塔","7","114","32670","32861","100","100","20","0"
"22","傲慢の塔","11","118","32670","32861","100","100","20","0"
"23","傲慢の塔","2","118","32670","32861","100","100","20","0"
"24","傲慢の塔","3","118","32670","32861","100","100","20","0"
"25","傲慢の塔","4","118","32670","32861","100","100","20","0"
"26","傲慢の塔","5","118","32670","32861","100","100","20","0"
"27","傲慢の塔","6","118","32670","32861","100","100","20","0"
"28","傲慢の塔","7","118","32670","32861","100","100","20","0"
"29","傲慢の塔","12","124","32670","32861","100","100","20","0"
"30","傲慢の塔","2","124","32670","32861","100","100","20","0"
"31","傲慢の塔","3","124","32670","32861","100","100","20","0"
"32","傲慢の塔","4","124","32670","32861","100","100","20","0"
"33","傲慢の塔","5","124","32670","32861","100","100","20","0"
"34","傲慢の塔","6","124","32670","32861","100","100","20","0"
"35","傲慢の塔","7","124","32670","32861","100","100","20","0"
"36","傲慢の塔","13","128","32670","32861","100","100","20","0"
"37","傲慢の塔","2","128","32670","32861","100","100","20","0"
"38","傲慢の塔","3","128","32670","32861","100","100","20","0"
"39","傲慢の塔","4","128","32670","32861","100","100","20","0"
"40","傲慢の塔","5","128","32670","32861","100","100","20","0"
"41","傲慢の塔","6","128","32670","32861","100","100","20","0"
"42","傲慢の塔","7","128","32670","32861","100","100","20","0"
