"house_id","house_name","house_area","deadline","price","location","old_owner","old_owner_id","bidder","bidder_id"
"262145","ギランアジト1","78","19/10/2025 23:00:00","1000000","ギラン1番アジト","","0","","0"
"262146","ギランアジト2","45","19/10/2025 23:00:00","1000000","ギラン2番アジト","","0","","0"
"262148","ギランアジト4","45","19/10/2025 23:00:00","1000000","ギラン4番アジト","","0","","0"
"262149","ギランアジト5","78","19/10/2025 23:00:00","1000000","ギラン5番アジト","","0","","0"
"262147","ギランアジト3","120","19/10/2025 23:00:00","1000000","ギラン3番アジト","","0","","0"
"262152","ギランアジト8","78","19/10/2025 23:00:00","1000000","ギラン8番アジト","","0","","0"
"262153","ギランアジト9","78","19/10/2025 23:00:00","1000000","ギラン9番アジト","","0","","0"
"262156","ギランアジト12","78","19/10/2025 23:00:00","1000000","ギラン12番アジト","","0","","0"
"262157","ギランアジト13","120","19/10/2025 23:00:00","1000000","ギラン13番アジト","","0","","0"
"262158","ギランアジト14","78","19/10/2025 23:00:00","1000000","ギラン14番アジト","","0","","0"
"262159","ギランアジト15","45","19/10/2025 23:00:00","1000000","ギラン15番アジト","","0","","0"
"262161","ギランアジト17","45","19/10/2025 23:00:00","1000000","ギラン17番アジト","","0","","0"
"262162","ギランアジト18","120","19/10/2025 23:00:00","1000000","ギラン18番アジト","","0","","0"
"262163","ギランアジト19","78","19/10/2025 23:00:00","1000000","ギラン19番アジト","","0","","0"
"262164","ギランアジト20","78","19/10/2025 23:00:00","1000000","ギラン20番アジト","","0","","0"
"262167","ギランアジト23","78","19/10/2025 23:00:00","1000000","ギラン23番アジト","","0","","0"
"262168","ギランアジト24","45","19/10/2025 23:00:00","1000000","ギラン24番アジト","","0","","0"
"262170","ギランアジト26","120","19/10/2025 23:00:00","1000000","ギラン26番アジト","","0","","0"
"262171","ギランアジト27","78","19/10/2025 23:00:00","1000000","ギラン27番アジト","","0","","0"
"262172","ギランアジト28","45","19/10/2025 23:00:00","1000000","ギラン28番アジト","","0","","0"
"262173","ギランアジト29","78","19/10/2025 23:00:00","1000000","ギラン29番アジト","","0","","0"
"262174","ギランアジト30","45","19/10/2025 23:00:00","1000000","ギラン30番アジト","","0","","0"
"262176","ギランアジト32","78","19/10/2025 23:00:00","1000000","ギラン32番アジト","","0","","0"
"262177","ギランアジト33","45","19/10/2025 23:00:00","1000000","ギラン33番アジト","","0","","0"
"262179","ギランアジト35","120","19/10/2025 23:00:00","1000000","ギラン35番アジト","","0","","0"
"262180","ギランアジト36","45","19/10/2025 23:00:00","1000000","ギラン36番アジト","","0","","0"
"262182","ギランアジト38","78","19/10/2025 23:00:00","1000000","ギラン38番アジト","","0","","0"
"262184","ギランアジト40","78","19/10/2025 23:00:00","1000000","ギラン40番アジト","","0","","0"
"262185","ギランアジト41","78","19/10/2025 23:00:00","1000000","ギラン41番アジト","","0","","0"
"262186","ギランアジト42","45","19/10/2025 23:00:00","1000000","ギラン42番アジト","","0","","0"
"262187","ギランアジト43","120","19/10/2025 23:00:00","1000000","ギラン43番アジト","","0","","0"
"262188","ギランアジト44","120","19/10/2025 23:00:00","1000000","ギラン44番アジト","","0","","0"
