"name","access_level","class_name"
"accbankick","9999","L1AccountBanKick"
"action","9999","L1Action"
"addskill","9999","L1AddSkill"
"adena","0","L1Adena"
"adshop","9999","L1AdShop"
"allbuff","9999","L1AllBuff"
"banip","9999","L1BanIp"
"buff","9999","L1Buff"
"bufficon","9999","L1BuffIcon"
"burf","9999","L1Burf"
"castgfx","9999","L1SkillEffect"
"chat","9999","L1Chat"
"chatng","9999","L1ChatNG"
"chatng2","9999","L1ChatNG2"
"chgoffloc","9999","L1ChangeOfflineLocation"
"chkchara","9999","L1CheckCharacter"
"chkpass","9999","L1CheckPassword"
"clear","9999","L1Clear"
"cookicon","9999","L1CookingIcon"
"craft","9999","L1CraftNum"
"delgrounditem","9999","L1DeleteGroundItem"
"delletter","9999","L1RemoveLetter"
"desc","9999","L1Describe"
"echo","9999","L1Echo"
"eventspawn","9999","L1EventSpawn"
"fakechar","9999","L1FakeCharacter"
"favorite","9999","L1Favorite"
"gfxid","9999","L1GfxId"
"gm","9999","L1GM"
"gmq","9999","L1GMQuestion"
"gmroom","9999","L1GMRoom"
"hometown","9999","L1HomeTown"
"hpbar","9999","L1HpBar"
"insert","9999","L1InsertSpawn"
"invgfx","9999","L1InvGfxId"
"invisible","9999","L1Invisible"
"item","9999","L1CreateItem"
"itemset","9999","L1CreateItemSet"
"kick","9999","L1Kick"
"kill","9999","L1Kill"
"letter","9999","L1LetterCommand"
"level","9999","L1Level"
"levelpresent","9999","L1LevelPresent"
"loc","9999","L1Loc"
"message","9999","L1ServerMessage"
"move","9999","L1Move"
"name","9999","L1ServerName"
"npcdown","9999","L1NpcDown"
"npcdown1","9999","L1NpcDown1"
"npcshop","9999","L1NpcShopSwitch"
"passview","9999","L1PassableView"
"patrol","9999","L1Patrol"
"pkgpresent","9999","L1PackagePresent"
"poly","9999","L1Poly"
"powerkick","9999","L1PowerKick"
"present","9999","L1Present"
"ptrecall","9999","L1PartyRecall"
"querychar","9999","L1QueryCharacter"
"rangekick","9999","L1RangeKick"
"recall","9999","L1Recall"
"reload","9999","L1Reload"
"reloadtrap","9999","L1ReloadTrap"
"resettrap","9999","L1ResetTrap"
"ress","9999","L1Ress"
"ressbuf","9999","L1RessBuff"
"robot3","9999","L1Robot3"
"robot4","9999","L1Robot4"
"showtrap","9999","L1ShowTrap"
"shutdown","9999","L1Shutdown"
"skick","9999","L1SKick"
"skillicon","9999","L1SkillIcon"
"spawn","9999","L1SpawnCmd"
"speed","9999","L1Speed"
"status","9999","L1Status"
"summon","9999","L1Summon"
"thread","9999","L1Thread"
"topc","9999","L1ToPC"
"tospawn","9999","L1ToSpawn"
"usercalc","9999","L1UserCalc"
"visible","9999","L1Visible"
"weather","9999","L1ChangeWeather"
"who","9999","L1Who"
