"char_obj_id","skill_id","remaining_time","poly_id"
"907646107","14","1784","0"
"907646107","26","1184","0"
"907646107","42","1184","0"
"907646107","43","1184","0"
"907646107","55","304","0"
"907646107","111","176","0"
"907646107","114","624","0"
"907646107","115","624","0"
"907646107","117","624","0"
"907646107","129","1184","0"
"907646107","137","1184","0"
"907646107","147","48","0"
"907646107","166","944","0"
"907646107","168","944","0"
"907646107","171","304","0"
"907646107","175","112","0"
"907646107","176","944","0"
"907646107","1000","8359","0"
"907646107","4914","1784","0"
"907646107","7678","584","0"
"907646107","22000","1784","0"
"907646107","50007","7184","0"
"907646107","80007","9478","0"
