"area_x1","area_y1","area_x2","area_y2","area_mapid","getback_x1","getback_y1","getback_x2","getback_y2","getback_x3","getback_y3","getback_mapid","getback_townid","getback_townid_elf","getback_townid_darkelf","scrollescape","note"
"0","0","0","0","0","32574","32941","32574","32941","32574","32941","0","1","0","0","1","話をすることができる島"
"0","0","0","0","1","32574","32941","32574","32941","32574","32941","0","1","0","0","1","話をすることができる島洞窟1F"
"0","0","0","0","2","32574","32941","32574","32941","32574","32941","0","1","0","0","1","話をすることができる島洞窟2F"
"0","0","0","0","3","32574","32941","32574","32941","32574","32941","0","1","0","0","1","軍他意家"
"0","0","0","0","5","32624","32813","32624","32813","32624","32813","4","1","0","0","1","グルディオに行く船"
"0","0","0","0","6","32574","32941","32574","32941","32574","32941","0","3","0","0","1","話をすることができる島に行く船"
"0","0","0","0","7","32624","32813","32624","32813","32624","32813","4","3","0","0","1","メインランド洞窟1F"
"0","0","0","0","8","32624","32813","32624","32813","32624","32813","4","3","0","0","1","メインランド洞窟2F"
"0","0","0","0","9","32624","32813","32624","32813","32624","32813","4","3","0","0","1","メインランド洞窟3F"
"0","0","0","0","10","32624","32813","32624","32813","32624","32813","4","3","0","0","1","メインランド洞窟4F"
"0","0","0","0","11","32624","32813","32624","32813","32624","32813","4","3","0","0","1","メインランド洞窟5F"
"0","0","0","0","12","32624","32813","32624","32813","32624","32813","4","3","0","0","1","メインランド洞窟6F"
"0","0","0","0","13","32624","32813","32624","32813","32624","32813","4","3","0","0","1","メインランド洞窟7F"
"0","0","0","0","14","32574","32941","32574","32941","32574","32941","0","0","0","0","1","海底ことも"
"0","0","0","0","15","33049","32780","33049","32780","33049","32780","4","6","0","0","1","ケント育てる予約"
"0","0","0","0","16","33051","32343","33051","32343","33051","32343","4","0","0","0","1","ハーキンの研究所"
"0","0","0","0","17","33051","32343","33051","32343","33051","32343","4","4","11","0","1","ネール波の洞窟"
"0","0","0","0","18","33051","32343","33051","32343","33051","32343","4","4","11","0","1","デューペルゲノン洞窟"
"0","0","0","0","19","32745","32445","32745","32445","32745","32445","4","4","11","0","1","エルブ洞窟1F"
"0","0","0","0","20","32745","32445","32745","32445","32745","32445","4","4","11","0","1","エルブ洞窟2F"
"0","0","0","0","21","32745","32445","32745","32445","32745","32445","4","4","11","0","1","エルブ洞窟3F"
"0","0","0","0","22","33089","33397","33089","33397","33089","33397","4","0","0","0","1","がロッドクエスト洞窟"
"0","0","0","0","23","32612","33188","32612","33188","32612","33188","4","5","0","0","1","ウィンダウトド洞窟1F"
"0","0","0","0","24","32612","33188","32612","33188","32612","33188","4","5","0","0","1","ウィンダウトド洞窟2F"
"0","0","0","0","25","33089","33397","33089","33397","33089","33397","4","2","0","0","1","シルバーナイトタウン洞窟1F"
"0","0","0","0","26","33089","33397","33089","33397","33089","33397","4","2","0","0","1","シルバーナイトタウン洞窟2F"
"0","0","0","0","27","33089","33397","33089","33397","33089","33397","4","2","0","0","1","シルバーナイトタウン洞窟3F"
"0","0","0","0","28","33089","33397","33089","33397","33089","33397","4","2","0","0","1","シルバーナイトタウン洞窟4F"
"0","0","0","0","29","32612","33188","32612","33188","32612","33188","4","5","0","0","1","ウィンダウトド育て恥部"
"0","0","0","0","30","33429","32814","33429","32814","33429","32814","4","7","0","0","1","ドラゴンバレイ洞窟1F"
"0","0","0","0","31","33429","32814","33429","32814","33429","32814","4","7","0","0","1","ドラゴンバレイ洞窟2F"
"0","0","0","0","32","33429","32814","33429","32814","33429","32814","4","7","0","0","1","ドラゴンバレイ洞窟3F"
"0","0","0","0","33","33429","32814","33429","32814","33429","32814","4","7","0","0","1","ドラゴンバレイ洞窟4F"
"0","0","0","0","34","0","0","0","0","0","0","0","0","0","0","1","カーのクエスト洞窟"
"0","0","0","0","35","33429","32814","33429","32814","33429","32814","4","7","0","0","1","ドラゴンバレイ洞窟5F"
"0","0","0","0","36","33429","32814","33429","32814","33429","32814","4","7","0","0","1","ドラゴンバレイ洞窟6F"
"0","0","0","0","37","33429","32814","33429","32814","33429","32814","4","7","0","0","1","ドラゴンバレイ洞窟7F"
"0","0","0","0","38","0","0","0","0","0","0","0","0","0","0","1","カーのクエスト洞窟"
"0","0","0","0","39","0","0","0","0","0","0","0","0","0","0","1","カーのクエスト洞窟"
"0","0","0","0","40","0","0","0","0","0","0","0","0","0","0","1","カーのクエスト洞窟"
"0","0","0","0","41","0","0","0","0","0","0","0","0","0","0","1","カーのクエスト洞窟"
"0","0","0","0","42","0","0","0","0","0","0","0","0","0","0","1",""
"0","0","0","0","43","32612","33188","32612","33188","32612","33188","4","2","0","0","1","アント洞窟1F"
"0","0","0","0","44","32612","33188","32612","33188","32612","33188","4","2","0","0","1","アント洞窟2F"
"0","0","0","0","45","32612","33188","32612","33188","32612","33188","4","2","0","0","1","アント洞窟3F"
"0","0","0","0","46","32612","33188","32612","33188","32612","33188","4","2","0","0","1","アント洞窟4F"
"0","0","0","0","47","32612","33188","32612","33188","32612","33188","4","2","0","0","1","アント洞窟5F"
"0","0","0","0","48","32612","33188","32612","33188","32612","33188","4","2","0","0","1","アント洞窟6F"
"0","0","0","0","49","32612","33188","32612","33188","32612","33188","4","2","0","0","1","アント洞窟7F"
"0","0","0","0","50","32612","33188","32612","33188","32612","33188","4","2","0","0","1","アント洞窟8F"
"0","0","0","0","51","32612","33188","32612","33188","32612","33188","4","2","0","0","1","アント洞窟（QA）"
"0","0","0","0","52","33429","32814","33429","32814","33429","32814","4","7","0","0","1","ギラン育てる予約"
"0","0","0","0","53","33429","32814","33429","32814","33429","32814","4","7","0","0","1","ギラン洞窟1F"
"0","0","0","0","54","33429","32814","33429","32814","33429","32814","4","7","0","0","1","ギラン洞窟2F"
"0","0","0","0","55","33429","32814","33429","32814","33429","32814","4","7","0","0","1","ギラン洞窟3F"
"0","0","0","0","56","33429","32814","33429","32814","33429","32814","4","7","0","0","1","ギラン洞窟4F"
"0","0","0","0","57","32574","32941","32574","32941","32574","32941","4","0","0","0","1","歌う島"
"0","0","0","0","58","33082","33389","33082","33389","33082","33389","4","0","0","0","1","隠された渓谷"
"0","0","0","0","59","33614","33243","33614","33243","33614","33243","4","8","0","0","1","ハイネ洞窟1F"
"0","0","0","0","60","33614","33243","33614","33243","33614","33243","4","8","0","0","1","ハイネ洞窟2F"
"0","0","0","0","61","33614","33243","33614","33243","33614","33243","4","8","0","0","1","ハイネ洞窟3F"
"0","0","0","0","62","33604","33237","33604","33237","33604","33237","4","8","0","0","1","エヴァの神殿"
"0","0","0","0","63","33604","33237","33604","33237","33604","33237","4","8","0","0","1","ハイネ洞窟4F"
"0","0","0","0","64","33604","33237","33604","33237","33604","33237","4","8","0","0","1","Heine育てる予約"
"0","0","0","0","65","33604","33237","33604","33237","33604","33237","4","8","0","0","1","水竜のサーチャー"
"0","0","0","0","66","33722","32496","33722","32496","33722","32496","4","9","0","0","1","ドゥウォ後の洞窟"
"0","0","0","0","67","33719","32491","33719","32491","33719","32491","4","9","0","0","1","火竜のサーチャー"
"0","0","0","0","68","32778","32779","32778","32779","32778","32779","68","0","0","0","1","歌う島"
"0","0","0","0","69","32714","32877","32714","32877","32714","32877","69","0","0","0","1","隠された渓谷"
"0","0","0","0","71","0","0","0","0","0","0","0","0","0","0","1",""
"0","0","0","0","72","34053","32284","34053","32284","34053","32284","4","10","0","0","1","修正の洞窟1F"
